nameWithOwner,url,stars,createdAt,updatedAt,age_days,since_update_days,primary_language,merged_prs,releases,open_issues,closed_issues,closed_issues_ratio
home-assistant/core,https://github.com/home-assistant/core,85102,2013-09-17T07:29:48Z,2026-03-03T13:48:14Z,4550,0,Python,82455,1000,2898,65289,0.9574992300585156
ruanyf/weekly,https://github.com/ruanyf/weekly,85066,2018-10-13T12:36:07Z,2026-03-03T13:27:11Z,2698,0,,105,0,7172,1281,0.151543830592689
3b1b/manim,https://github.com/3b1b/manim,84950,2015-03-22T18:50:58Z,2026-03-03T13:51:55Z,3998,0,Python,661,13,458,765,0.6255110384300899
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners,84103,2021-03-03T01:34:05Z,2026-03-03T14:04:31Z,1826,0,Jupyter Notebook,446,0,0,158,1.0
laravel/laravel,https://github.com/laravel/laravel,83832,2011-06-08T03:06:08Z,2026-03-03T12:19:35Z,5382,0,Blade,1670,211,0,0,
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,83509,2021-07-03T01:02:42Z,2026-03-03T14:04:55Z,1704,0,JavaScript,1679,124,656,3978,0.8584376348726802
microsoft/playwright,https://github.com/microsoft/playwright,83387,2019-11-15T18:32:42Z,2026-03-03T13:55:14Z,2299,0,TypeScript,16249,158,587,16499,0.965644387217605
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners,83087,2015-10-24T19:53:36Z,2026-03-03T13:39:31Z,3782,0,,469,0,15,188,0.9261083743842364
macrozheng/mall,https://github.com/macrozheng/mall,83006,2018-04-04T01:11:44Z,2026-03-03T12:51:44Z,2890,0,Java,1,3,10,489,0.9799599198396793
realworld-apps/realworld,https://github.com/realworld-apps/realworld,82893,2016-02-26T20:49:53Z,2026-03-03T12:48:48Z,3657,0,TypeScript,434,0,34,511,0.9376146788990826
animate-css/animate.css,https://github.com/animate-css/animate.css,82619,2011-10-12T10:07:38Z,2026-03-03T09:14:30Z,5256,0,CSS,315,22,40,843,0.9546998867497168
anthropics/skills,https://github.com/anthropics/skills,82251,2025-09-22T15:53:31Z,2026-03-03T14:12:04Z,161,0,Python,20,0,125,21,0.14383561643835616
punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,82041,2024-11-30T04:49:10Z,2026-03-03T13:47:34Z,458,0,,1369,0,51,148,0.7437185929648241
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,81374,2019-10-03T17:31:21Z,2026-03-03T13:34:51Z,2342,0,Python,309,0,34,69,0.6699029126213593
tonsky/FiraCode,https://github.com/tonsky/FiraCode,81228,2014-11-11T19:32:38Z,2026-03-03T14:05:42Z,4129,0,Clojure,141,29,421,959,0.6949275362318841
